"x_dim" "y_dim" "radius" "dist_fnc" "neighbor_fnc" "toroidal"
"46" "5" "3" "0" "euclidean" "bubble" "1"
"47" "4" "2" "2.64575131106459" "manhattan" "gaussian" "0"
"48" "7" "4" "4.35889894354067" "sumofsquares" "bubble" "0"
"49" "4" "2" "0" "manhattan" "bubble" "0"
"50" "6" "3" "3.60555127546399" "sumofsquares" "gaussian" "1"
"51" "7" "4" "1" "euclidean" "bubble" "1"
"52" "6" "3" "1" "euclidean" "bubble" "1"
"53" "4" "2" "1" "manhattan" "gaussian" "0"
"54" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "1"
"55" "6" "3" "2" "manhattan" "gaussian" "1"
"56" "6" "3" "4" "euclidean" "gaussian" "1"
"57" "3" "2" "1.73205080756888" "euclidean" "gaussian" "1"
"58" "5" "3" "3.46410161513775" "sumofsquares" "bubble" "1"
"59" "6" "3" "0" "manhattan" "bubble" "0"
"60" "4" "2" "0" "manhattan" "bubble" "0"
"61" "3" "2" "1.73205080756888" "manhattan" "gaussian" "1"
"62" "6" "3" "1.73205080756888" "sumofsquares" "bubble" "0"
"63" "7" "4" "1" "euclidean" "gaussian" "0"
"64" "3" "2" "2" "euclidean" "gaussian" "0"
"65" "4" "2" "1" "euclidean" "gaussian" "1"
"66" "5" "3" "1.73205080756888" "euclidean" "gaussian" "0"
"67" "6" "3" "2" "sumofsquares" "bubble" "0"
"68" "6" "3" "2.64575131106459" "sumofsquares" "gaussian" "1"
"69" "3" "2" "1" "euclidean" "gaussian" "0"
"70" "5" "3" "1" "manhattan" "gaussian" "1"
"71" "5" "3" "1" "euclidean" "bubble" "1"
"72" "7" "3" "1" "manhattan" "gaussian" "1"
"73" "6" "3" "0" "euclidean" "bubble" "0"
"74" "4" "2" "1" "euclidean" "bubble" "1"
"75" "7" "3" "1" "manhattan" "bubble" "1"
"76" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "0"
"77" "6" "3" "2" "manhattan" "gaussian" "0"
"78" "5" "3" "1" "manhattan" "gaussian" "1"
"79" "5" "3" "1.73205080756888" "manhattan" "bubble" "0"
"80" "7" "3" "0" "manhattan" "bubble" "0"
"81" "7" "3" "4.58257569495584" "euclidean" "gaussian" "1"
"82" "5" "2" "1.73205080756888" "euclidean" "bubble" "1"
"83" "5" "3" "1" "sumofsquares" "gaussian" "0"
"84" "6" "3" "2" "euclidean" "bubble" "0"
"85" "3" "1" "1" "sumofsquares" "bubble" "1"
"86" "6" "3" "5.29150262212918" "manhattan" "gaussian" "1"
"87" "7" "4" "3.46410161513775" "sumofsquares" "gaussian" "1"
"88" "4" "2" "1.73205080756888" "sumofsquares" "gaussian" "1"
"89" "6" "3" "2.64575131106459" "sumofsquares" "gaussian" "0"
"90" "7" "4" "1" "manhattan" "gaussian" "1"
"91" "5" "3" "3.60555127546399" "sumofsquares" "gaussian" "0"
"92" "4" "2" "0" "sumofsquares" "gaussian" "0"
"93" "6" "3" "1.73205080756888" "euclidean" "gaussian" "0"
"94" "4" "2" "1.73205080756888" "manhattan" "bubble" "1"
"95" "4" "2" "2.64575131106459" "sumofsquares" "bubble" "1"
"96" "6" "3" "3.46410161513775" "sumofsquares" "gaussian" "1"
"97" "6" "3" "1" "euclidean" "gaussian" "1"
"98" "6" "3" "2.64575131106459" "manhattan" "bubble" "1"
"99" "5" "3" "3.54764571850304" "euclidean" "gaussian" "1"
"100" "5" "3" "1" "euclidean" "gaussian" "0"
"101" "7" "3" "2.64575131106459" "euclidean" "bubble" "0"
"102" "6" "3" "2" "sumofsquares" "bubble" "1"
"103" "3" "2" "1" "manhattan" "gaussian" "0"
"104" "6" "3" "3.46410161513775" "manhattan" "gaussian" "0"
"105" "4" "2" "1.73205080756888" "manhattan" "gaussian" "0"
"106" "7" "4" "3.99276456506416" "manhattan" "gaussian" "0"
"107" "6" "3" "2.64575131106459" "sumofsquares" "bubble" "0"
"108" "7" "4" "4.35889894354067" "euclidean" "bubble" "1"
"109" "6" "3" "2" "sumofsquares" "bubble" "1"
"110" "7" "4" "3" "manhattan" "bubble" "1"
"111" "6" "3" "1" "manhattan" "bubble" "0"
"112" "3" "2" "1" "euclidean" "bubble" "0"
"113" "5" "3" "1" "sumofsquares" "gaussian" "0"
"114" "7" "3" "4" "euclidean" "gaussian" "0"
"115" "3" "2" "2.07654336089453" "manhattan" "bubble" "1"
"116" "6" "3" "2" "euclidean" "bubble" "0"
"117" "7" "3" "1.73205080756888" "manhattan" "bubble" "0"
"118" "4" "2" "2" "sumofsquares" "gaussian" "0"
"119" "6" "3" "0" "sumofsquares" "bubble" "1"
"120" "5" "3" "1" "euclidean" "bubble" "1"
"121" "6" "3" "1.73205080756888" "euclidean" "bubble" "1"
"122" "6" "3" "5" "manhattan" "gaussian" "0"
"123" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "1"
"124" "6" "3" "2" "sumofsquares" "gaussian" "0"
"125" "7" "3" "1.73205080756888" "euclidean" "bubble" "0"
"126" "7" "4" "3.46410161513775" "manhattan" "gaussian" "1"
"127" "6" "3" "3.46410161513775" "manhattan" "bubble" "1"
"128" "6" "3" "2" "sumofsquares" "gaussian" "1"
"129" "5" "3" "2.64575131106459" "euclidean" "gaussian" "1"
"130" "5" "3" "2.64575131106459" "euclidean" "bubble" "1"
"131" "6" "3" "2" "manhattan" "bubble" "1"
"132" "6" "3" "2.64575131106459" "manhattan" "gaussian" "0"
"133" "6" "3" "3" "manhattan" "bubble" "1"
"134" "3" "2" "1" "sumofsquares" "bubble" "0"
"135" "6" "3" "3.60555127546399" "euclidean" "gaussian" "1"
"136" "4" "2" "3.0229756846364" "sumofsquares" "gaussian" "0"
"137" "6" "3" "2" "manhattan" "bubble" "0"
"138" "6" "3" "2" "sumofsquares" "gaussian" "0"
"139" "5" "3" "2.64575131106459" "sumofsquares" "gaussian" "1"
"140" "6" "3" "5" "manhattan" "bubble" "0"
"141" "6" "3" "2" "sumofsquares" "bubble" "1"
"142" "3" "2" "1" "manhattan" "gaussian" "0"
"143" "4" "2" "2" "sumofsquares" "bubble" "0"
"144" "4" "2" "1" "manhattan" "bubble" "0"
"145" "6" "3" "2" "manhattan" "bubble" "0"
"146" "4" "2" "3.60555127546399" "euclidean" "bubble" "0"
"147" "7" "4" "1.73205080756888" "manhattan" "gaussian" "1"
"148" "6" "3" "0" "euclidean" "gaussian" "0"
"149" "5" "3" "1" "sumofsquares" "gaussian" "1"
"150" "6" "3" "1" "euclidean" "bubble" "1"
"151" "7" "3" "2.64575131106459" "euclidean" "bubble" "0"
"152" "5" "3" "3.60555127546399" "manhattan" "gaussian" "1"
"153" "4" "2" "1" "euclidean" "gaussian" "0"
"154" "6" "3" "2" "sumofsquares" "bubble" "0"
"155" "3" "2" "2.60009415302103" "sumofsquares" "gaussian" "0"
"156" "5" "3" "2" "euclidean" "gaussian" "1"
"157" "5" "3" "1.73205080756888" "sumofsquares" "gaussian" "1"
"158" "5" "3" "4.58257569495584" "manhattan" "bubble" "0"
"159" "3" "2" "0" "manhattan" "gaussian" "1"
"160" "3" "2" "2" "euclidean" "gaussian" "0"
"161" "5" "3" "1" "manhattan" "bubble" "1"
"162" "7" "3" "1" "sumofsquares" "gaussian" "1"
"163" "5" "3" "2" "manhattan" "gaussian" "1"
"164" "5" "3" "2.73190564940975" "manhattan" "bubble" "0"
"165" "6" "3" "2.64575131106459" "manhattan" "bubble" "1"
"166" "6" "3" "1" "manhattan" "gaussian" "0"
"167" "4" "2" "2.64575131106459" "manhattan" "bubble" "0"
"168" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "0"
"169" "4" "2" "2" "euclidean" "gaussian" "0"
"170" "3" "1" "0.418128158897161" "euclidean" "bubble" "1"
"171" "3" "2" "1" "manhattan" "bubble" "1"
"172" "5" "3" "1.73205080756888" "sumofsquares" "bubble" "0"
"173" "4" "2" "1.94842816545774" "sumofsquares" "gaussian" "1"
"174" "4" "2" "2" "sumofsquares" "gaussian" "1"
"175" "4" "2" "0" "manhattan" "gaussian" "0"
"176" "7" "3" "4" "manhattan" "gaussian" "1"
"177" "5" "3" "1" "sumofsquares" "bubble" "0"
"178" "4" "2" "3" "manhattan" "gaussian" "0"
"179" "6" "3" "1.53002052085749" "sumofsquares" "gaussian" "1"
"180" "5" "3" "2.64575131106459" "euclidean" "gaussian" "1"
"181" "5" "3" "1" "euclidean" "gaussian" "1"
"182" "3" "1" "0" "euclidean" "bubble" "1"
"183" "4" "2" "1" "manhattan" "bubble" "1"
"184" "6" "3" "1.73205080756888" "sumofsquares" "bubble" "1"
"185" "6" "3" "1.73205080756888" "manhattan" "gaussian" "1"
"186" "6" "3" "1" "sumofsquares" "gaussian" "0"
"187" "4" "2" "1" "sumofsquares" "gaussian" "1"
"188" "5" "3" "1.73205080756888" "manhattan" "gaussian" "0"
"189" "4" "2" "2" "manhattan" "bubble" "0"
"190" "6" "3" "2" "sumofsquares" "bubble" "0"
"191" "3" "2" "0" "euclidean" "gaussian" "0"
"192" "4" "2" "2" "euclidean" "gaussian" "0"
"193" "4" "2" "1.73205080756888" "sumofsquares" "bubble" "0"
"194" "3" "2" "0" "manhattan" "gaussian" "1"
"195" "6" "3" "1.73205080756888" "euclidean" "gaussian" "1"
"196" "4" "2" "1" "manhattan" "bubble" "1"
"197" "5" "2" "1.73205080756888" "euclidean" "gaussian" "1"
"198" "4" "2" "2" "manhattan" "gaussian" "1"
"199" "7" "3" "2" "euclidean" "gaussian" "1"
"200" "7" "4" "1.73205080756888" "sumofsquares" "bubble" "1"
"201" "4" "2" "1" "manhattan" "gaussian" "1"
"202" "5" "3" "3.60555127546399" "manhattan" "bubble" "1"
"203" "7" "3" "2" "manhattan" "gaussian" "1"
"204" "6" "3" "2" "sumofsquares" "gaussian" "1"
"205" "3" "2" "1" "sumofsquares" "gaussian" "1"
"206" "6" "3" "1" "euclidean" "gaussian" "0"
"207" "6" "3" "3.60555127546399" "manhattan" "bubble" "0"
"208" "3" "2" "0" "sumofsquares" "gaussian" "0"
"209" "3" "2" "2" "manhattan" "gaussian" "0"
"210" "7" "3" "1" "euclidean" "gaussian" "0"
"211" "5" "3" "0" "sumofsquares" "gaussian" "1"
"212" "5" "3" "3" "sumofsquares" "gaussian" "1"
"213" "4" "2" "1" "euclidean" "bubble" "0"
"214" "5" "2" "1.73205080756888" "manhattan" "bubble" "0"
"215" "6" "3" "4.35889894354067" "manhattan" "gaussian" "0"
"216" "5" "3" "0" "euclidean" "gaussian" "1"
"217" "7" "3" "2" "euclidean" "gaussian" "0"
"218" "6" "3" "4.35889894354067" "euclidean" "gaussian" "0"
"219" "6" "3" "3.46410161513775" "euclidean" "gaussian" "0"
"220" "6" "3" "2.64575131106459" "euclidean" "gaussian" "0"
"221" "3" "2" "1" "manhattan" "gaussian" "0"
"222" "6" "3" "5.56776436283002" "manhattan" "bubble" "0"
"223" "6" "3" "3.60555127546399" "sumofsquares" "bubble" "1"
"224" "6" "3" "1.73205080756888" "euclidean" "bubble" "1"
"225" "6" "3" "2.64575131106459" "euclidean" "gaussian" "1"
"226" "7" "3" "1" "euclidean" "bubble" "0"
"227" "5" "3" "2.92675527566521" "euclidean" "gaussian" "1"
"228" "3" "2" "1.73205080756888" "euclidean" "bubble" "0"
"229" "6" "3" "4" "euclidean" "gaussian" "1"
"230" "7" "4" "2" "euclidean" "gaussian" "1"
"231" "3" "2" "1" "manhattan" "gaussian" "1"
"232" "3" "1" "1" "euclidean" "bubble" "1"
"233" "3" "2" "0" "manhattan" "bubble" "0"
"234" "5" "3" "3.60555127546399" "euclidean" "gaussian" "1"
"235" "6" "3" "2.64575131106459" "sumofsquares" "gaussian" "1"
"236" "4" "2" "2.64575131106459" "euclidean" "bubble" "0"
"237" "6" "3" "2.64575131106459" "sumofsquares" "bubble" "1"
"238" "3" "2" "1" "sumofsquares" "gaussian" "1"
"239" "7" "4" "1" "manhattan" "bubble" "1"
"240" "6" "3" "2.64575131106459" "sumofsquares" "bubble" "0"
"241" "4" "2" "1" "sumofsquares" "bubble" "0"
"242" "5" "3" "1" "sumofsquares" "gaussian" "1"
"243" "4" "2" "1" "euclidean" "gaussian" "1"
"244" "4" "2" "1" "manhattan" "bubble" "1"
"245" "5" "3" "1.73205080756888" "sumofsquares" "bubble" "0"
"246" "6" "3" "1.73205080756888" "euclidean" "bubble" "0"
"247" "5" "3" "1" "euclidean" "bubble" "1"
"248" "6" "3" "1" "sumofsquares" "gaussian" "1"
"249" "7" "3" "1" "euclidean" "gaussian" "0"
"250" "6" "3" "2" "euclidean" "bubble" "1"
"251" "4" "2" "1" "manhattan" "bubble" "0"
"252" "7" "4" "6" "sumofsquares" "gaussian" "1"
"253" "6" "3" "1" "sumofsquares" "bubble" "1"
"254" "6" "3" "1.73205080756888" "manhattan" "gaussian" "0"
"255" "6" "3" "2.64575131106459" "euclidean" "gaussian" "1"
"256" "5" "2" "2" "manhattan" "gaussian" "1"
"257" "3" "2" "1" "manhattan" "gaussian" "0"
"258" "5" "2" "2" "euclidean" "bubble" "0"
"259" "4" "2" "1.73205080756888" "sumofsquares" "gaussian" "1"
"260" "6" "3" "3" "sumofsquares" "gaussian" "1"
"261" "7" "4" "3.46410161513775" "manhattan" "gaussian" "0"
"262" "3" "2" "1" "sumofsquares" "bubble" "1"
"263" "6" "3" "0" "euclidean" "bubble" "0"
"264" "3" "2" "1" "sumofsquares" "gaussian" "0"
"265" "7" "3" "3.60555127546399" "sumofsquares" "bubble" "1"
"266" "6" "3" "1" "sumofsquares" "bubble" "1"
"267" "5" "3" "1" "sumofsquares" "gaussian" "1"
"268" "5" "3" "3" "sumofsquares" "gaussian" "0"
"269" "3" "2" "1" "sumofsquares" "gaussian" "0"
"270" "5" "3" "1" "manhattan" "bubble" "0"
"271" "3" "1" "2" "euclidean" "gaussian" "0"
"272" "6" "3" "4.48002138993898" "manhattan" "bubble" "1"
"273" "5" "3" "3.47833897733216" "sumofsquares" "bubble" "1"
"274" "4" "2" "1.73205080756888" "manhattan" "bubble" "1"
"275" "4" "2" "2" "sumofsquares" "gaussian" "0"
"276" "6" "3" "3" "manhattan" "gaussian" "1"
"277" "7" "3" "2" "manhattan" "bubble" "0"
"278" "4" "2" "1" "manhattan" "gaussian" "0"
"279" "6" "3" "1" "euclidean" "bubble" "1"
"280" "5" "3" "3" "euclidean" "gaussian" "1"
"281" "3" "2" "1" "sumofsquares" "bubble" "1"
"282" "6" "3" "1" "euclidean" "gaussian" "1"
"283" "6" "3" "1" "euclidean" "bubble" "0"
"284" "5" "2" "1.73205080756888" "manhattan" "bubble" "0"
"285" "3" "2" "0" "sumofsquares" "bubble" "0"
"286" "5" "3" "1" "manhattan" "gaussian" "1"
"287" "4" "2" "1" "euclidean" "bubble" "1"
"288" "6" "3" "1" "euclidean" "gaussian" "1"
"289" "6" "3" "1" "sumofsquares" "gaussian" "0"
"290" "5" "3" "1" "manhattan" "gaussian" "1"
"291" "7" "4" "3.60555127546399" "sumofsquares" "gaussian" "0"
"292" "6" "3" "1" "sumofsquares" "gaussian" "1"
"293" "6" "3" "3.60555127546399" "sumofsquares" "gaussian" "0"
"294" "6" "3" "2.64575131106459" "sumofsquares" "bubble" "0"
"295" "6" "3" "3.60555127546399" "sumofsquares" "gaussian" "0"
"296" "5" "3" "2.1262398932896" "manhattan" "bubble" "0"
"297" "5" "3" "3.60555127546399" "euclidean" "gaussian" "0"
"298" "5" "2" "0" "euclidean" "gaussian" "1"
"299" "4" "2" "2.64575131106459" "sumofsquares" "bubble" "0"
"300" "5" "3" "1" "manhattan" "gaussian" "1"
"301" "6" "3" "3.60555127546399" "sumofsquares" "gaussian" "1"
"302" "6" "3" "1.73205080756888" "euclidean" "bubble" "0"
"303" "7" "3" "2" "manhattan" "gaussian" "0"
"304" "6" "3" "2" "euclidean" "bubble" "1"
"305" "4" "2" "2.64575131106459" "euclidean" "bubble" "1"
"306" "5" "3" "1.73205080756888" "manhattan" "gaussian" "0"
"307" "7" "3" "2" "sumofsquares" "bubble" "0"
"308" "7" "4" "3.46410161513775" "manhattan" "gaussian" "1"
"309" "6" "3" "5" "manhattan" "gaussian" "1"
"310" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "0"
"311" "5" "3" "4" "euclidean" "bubble" "0"
"312" "6" "3" "2" "sumofsquares" "gaussian" "0"
"313" "5" "3" "1" "manhattan" "gaussian" "0"
"314" "4" "2" "1" "euclidean" "gaussian" "1"
"315" "3" "2" "1" "manhattan" "bubble" "0"
"316" "7" "4" "1.73205080756888" "sumofsquares" "bubble" "1"
"317" "6" "3" "4.58257569495584" "sumofsquares" "bubble" "0"
"318" "4" "2" "1" "sumofsquares" "bubble" "0"
"319" "4" "2" "2.64575131106459" "sumofsquares" "gaussian" "0"
"320" "5" "3" "1" "sumofsquares" "bubble" "1"
"321" "6" "3" "4.58257569495584" "euclidean" "gaussian" "1"
"322" "6" "3" "0" "manhattan" "gaussian" "1"
"323" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "1"
"324" "6" "3" "2" "manhattan" "gaussian" "1"
"325" "6" "3" "1" "euclidean" "gaussian" "1"
"326" "5" "2" "3" "euclidean" "bubble" "0"
"327" "7" "3" "1.73205080756888" "euclidean" "bubble" "1"
"328" "3" "2" "0" "euclidean" "bubble" "1"
"329" "4" "2" "1.99282240330535" "manhattan" "gaussian" "0"
"330" "5" "2" "2" "manhattan" "bubble" "1"
"331" "4" "2" "1" "manhattan" "bubble" "0"
"332" "4" "2" "2.64575131106459" "euclidean" "gaussian" "1"
"333" "7" "4" "1" "sumofsquares" "gaussian" "0"
"334" "6" "3" "4.58257569495584" "sumofsquares" "bubble" "0"
"335" "6" "3" "4.58257569495584" "manhattan" "bubble" "0"
"336" "3" "2" "2" "euclidean" "bubble" "1"
"337" "4" "2" "1" "euclidean" "bubble" "0"
"338" "6" "3" "3" "manhattan" "gaussian" "0"
"339" "5" "3" "3" "manhattan" "gaussian" "0"
"340" "5" "3" "1" "manhattan" "bubble" "1"
"341" "5" "3" "2" "euclidean" "gaussian" "1"
"342" "6" "3" "4" "euclidean" "bubble" "1"
"343" "3" "2" "0" "sumofsquares" "bubble" "1"
"344" "4" "2" "2.64575131106459" "manhattan" "bubble" "1"
"345" "5" "2" "4.58257569495584" "manhattan" "gaussian" "0"
"346" "7" "4" "2.64575131106459" "sumofsquares" "gaussian" "0"
"347" "3" "1" "1" "euclidean" "bubble" "1"
"348" "3" "2" "1" "sumofsquares" "gaussian" "1"
"349" "5" "3" "1" "manhattan" "gaussian" "1"
"350" "4" "2" "2" "sumofsquares" "bubble" "1"
"351" "3" "2" "0" "sumofsquares" "gaussian" "1"
"352" "5" "3" "0" "sumofsquares" "gaussian" "1"
"353" "7" "4" "4" "sumofsquares" "bubble" "1"
"354" "4" "2" "0" "sumofsquares" "gaussian" "1"
"355" "4" "2" "1" "euclidean" "gaussian" "1"
"356" "5" "3" "1" "euclidean" "gaussian" "0"
"357" "4" "2" "1" "sumofsquares" "gaussian" "0"
"358" "4" "2" "3.60555127546399" "manhattan" "gaussian" "1"
"359" "7" "3" "5" "manhattan" "bubble" "0"
"360" "7" "3" "3" "manhattan" "gaussian" "1"
"361" "5" "3" "4.58257569495584" "manhattan" "gaussian" "0"
"362" "4" "2" "3.25406520342947" "euclidean" "gaussian" "1"
"363" "6" "3" "4.58257569495584" "manhattan" "bubble" "0"
"364" "3" "1" "0" "manhattan" "bubble" "1"
"365" "6" "3" "1.73205080756888" "manhattan" "bubble" "0"
"366" "7" "3" "2" "manhattan" "bubble" "0"
"367" "4" "2" "3.60555127546399" "manhattan" "gaussian" "1"
"368" "5" "3" "4.35889894354067" "manhattan" "gaussian" "1"
"369" "6" "3" "1" "euclidean" "gaussian" "0"
"370" "6" "3" "2" "sumofsquares" "gaussian" "1"
"371" "6" "3" "4.35889894354067" "manhattan" "bubble" "0"
"372" "5" "3" "3.60555127546399" "euclidean" "gaussian" "0"
"373" "6" "3" "1" "manhattan" "gaussian" "1"
"374" "5" "3" "2.64575131106459" "sumofsquares" "bubble" "0"
"375" "6" "3" "2" "sumofsquares" "gaussian" "1"
"376" "5" "3" "2" "sumofsquares" "bubble" "1"
"377" "6" "3" "2" "sumofsquares" "gaussian" "1"
"378" "3" "2" "1" "euclidean" "gaussian" "1"
"379" "5" "3" "4" "manhattan" "gaussian" "0"
"380" "7" "4" "3" "sumofsquares" "gaussian" "1"
"381" "7" "4" "5.56776436283002" "manhattan" "bubble" "1"
"382" "5" "3" "3.60555127546399" "manhattan" "gaussian" "0"
"383" "7" "4" "5.19615242270663" "manhattan" "bubble" "0"
"384" "4" "2" "1" "manhattan" "bubble" "1"
"385" "3" "1" "0.892822399735451" "euclidean" "gaussian" "1"
"386" "6" "3" "2.64575131106459" "manhattan" "gaussian" "1"
"387" "4" "2" "2" "sumofsquares" "bubble" "0"
"388" "6" "3" "3.60555127546399" "manhattan" "bubble" "0"
"389" "6" "3" "3.46410161513775" "manhattan" "bubble" "0"
"390" "4" "2" "1" "manhattan" "gaussian" "0"
"391" "6" "3" "1" "sumofsquares" "bubble" "0"
"392" "6" "3" "4.58257569495584" "manhattan" "bubble" "0"
"393" "6" "3" "2" "sumofsquares" "gaussian" "1"
"394" "3" "1" "0" "manhattan" "bubble" "0"
"395" "4" "2" "1" "euclidean" "gaussian" "0"
"396" "5" "2" "4.58257569495584" "manhattan" "bubble" "0"
"397" "6" "3" "2" "manhattan" "gaussian" "0"
"398" "6" "3" "2.64575131106459" "euclidean" "bubble" "1"
"399" "5" "3" "2.64575131106459" "sumofsquares" "bubble" "1"
"400" "7" "3" "1" "sumofsquares" "gaussian" "1"
"401" "5" "3" "3.46410161513775" "sumofsquares" "gaussian" "0"
"402" "6" "3" "4.58257569495584" "sumofsquares" "gaussian" "1"
"403" "3" "1" "0.689421875402331" "sumofsquares" "gaussian" "1"
"404" "5" "3" "1.73205080756888" "euclidean" "bubble" "0"
"405" "4" "2" "1" "sumofsquares" "gaussian" "0"
"406" "7" "4" "4.95329117509301" "euclidean" "gaussian" "0"
"407" "6" "3" "1" "manhattan" "gaussian" "1"
"408" "6" "3" "2" "manhattan" "bubble" "0"
"409" "7" "4" "6" "manhattan" "gaussian" "0"
"410" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "0"
"411" "4" "2" "3" "euclidean" "gaussian" "0"
"412" "6" "3" "1.73205080756888" "manhattan" "bubble" "1"
"413" "7" "4" "5.56776436283002" "manhattan" "gaussian" "1"
"414" "5" "3" "1" "manhattan" "bubble" "0"
"415" "6" "3" "4" "sumofsquares" "gaussian" "1"
"416" "5" "2" "1" "euclidean" "gaussian" "1"
"417" "6" "3" "4.35192008907905" "euclidean" "gaussian" "0"
"418" "5" "2" "1" "sumofsquares" "gaussian" "1"
"419" "6" "3" "3.60555127546399" "sumofsquares" "bubble" "0"
"420" "6" "3" "2.64575131106459" "euclidean" "bubble" "0"
"421" "5" "3" "2" "sumofsquares" "gaussian" "1"
"422" "6" "3" "2.64575131106459" "euclidean" "gaussian" "1"
"423" "5" "3" "1.73205080756888" "sumofsquares" "gaussian" "1"
"424" "6" "3" "2.64575131106459" "manhattan" "gaussian" "1"
"425" "4" "2" "2.64575131106459" "euclidean" "bubble" "1"
"426" "6" "3" "1" "sumofsquares" "bubble" "1"
"427" "5" "3" "1.73205080756888" "manhattan" "gaussian" "0"
"428" "5" "3" "1" "euclidean" "gaussian" "0"
"429" "6" "3" "3.46410161513775" "manhattan" "gaussian" "1"
"430" "6" "3" "2.64575131106459" "manhattan" "gaussian" "0"
"431" "5" "2" "2" "euclidean" "gaussian" "0"
"432" "5" "3" "0.453537374734878" "sumofsquares" "bubble" "1"
"433" "6" "3" "2" "manhattan" "gaussian" "1"
"434" "5" "3" "0" "manhattan" "bubble" "1"
"435" "6" "3" "3.60555127546399" "sumofsquares" "bubble" "0"
"436" "3" "2" "0" "manhattan" "gaussian" "0"
"437" "6" "3" "1.73205080756888" "sumofsquares" "gaussian" "0"
"438" "6" "3" "1.73205080756888" "manhattan" "bubble" "1"
"439" "6" "3" "2.64575131106459" "manhattan" "gaussian" "1"
"440" "5" "3" "1" "manhattan" "bubble" "1"
"441" "5" "3" "2" "manhattan" "gaussian" "1"
"442" "5" "3" "1.73205080756888" "sumofsquares" "gaussian" "1"
"443" "6" "3" "2" "euclidean" "gaussian" "1"
"444" "6" "3" "2" "manhattan" "bubble" "0"
"445" "5" "3" "3" "euclidean" "gaussian" "1"
"446" "3" "2" "1" "sumofsquares" "gaussian" "1"
"447" "6" "3" "4.35889894354067" "manhattan" "bubble" "1"
"448" "5" "2" "2.91881567094643" "euclidean" "bubble" "0"
"449" "5" "2" "2.64575131106459" "manhattan" "gaussian" "0"
"450" "3" "1" "2" "euclidean" "gaussian" "0"
"451" "6" "3" "2" "sumofsquares" "bubble" "1"
"452" "3" "1" "0" "sumofsquares" "gaussian" "0"
"453" "5" "2" "0" "euclidean" "bubble" "1"
"454" "5" "3" "1.73205080756888" "manhattan" "bubble" "1"
